Author: Jakub Zielinski
Date: 02.03.2022

cov( 1, 1)=      0.33330407
cov( 2, 1)=      0.33330627
cov( 2, 2)=        0.354141
cov( 3, 1)=       0.9999136
cov( 3, 2)=       1.0415912
cov( 3, 3)=       3.4164322
cov( 4, 1)=     0.083315582
cov( 4, 2)=     0.083314822
cov( 4, 3)=      0.24996499
cov( 4, 4)=      0.11665102
cov( 5, 1)=      0.99991222
cov( 5, 2)=      0.99991882
cov( 5, 3)=       2.9997408
cov( 5, 4)=      0.24994675
cov( 5, 5)=       2.9997367
cov( 6, 1)=      0.58989923
cov( 6, 2)=      0.60678225
cov( 6, 3)=       1.8034589
cov( 6, 4)=      0.13578763
cov( 6, 5)=       1.7696977
cov( 6, 6)=       1.0617853
cov( 7, 1)=       6.7716441
cov( 7, 2)=       7.0482363
cov( 7, 3)=       22.979381
cov( 7, 4)=       2.6237937
cov( 7, 5)=       20.314932
cov( 7, 6)=         11.9001
cov( 7, 7)=       212.78557
cov( 8, 1)=      0.27854691
cov( 8, 2)=      0.28050257
cov( 8, 3)=      0.87657966
cov( 8, 4)=     0.047820361
cov( 8, 5)=      0.83564072
cov( 8, 6)=       0.5135593
cov( 8, 7)=       3.7328057
cov( 8, 8)=        0.465481
cov( 9, 1)=      0.26130321
cov( 9, 2)=      0.26987497
cov( 9, 3)=      0.84780182
cov( 9, 4)=      0.31189547
cov( 9, 5)=      0.78390963
cov( 9, 6)=       0.4460747
cov( 9, 7)=       9.1798975
cov( 9, 8)=      0.17784274
cov( 9, 9)=       1.1349119
cov(10, 1)=     0.061200765
cov(10, 2)=     0.054039027
cov(10, 3)=       0.1693054
cov(10, 4)=      0.10744704
cov(10, 5)=       0.1836023
cov(10, 6)=     0.094453825
cov(10, 7)=       1.7519573
cov(10, 8)=     0.044703545
cov(10, 9)=      0.30952735
cov(10,10)=      0.14192182
