np	t_read [s]	bw_read [MB/s]	t_cmp [s]
1	3.545867	1443.934600	124.594261
2	3.306031	1548.684818	70.977550
4	3.833360	1335.642814	21.551489
8	7.528174	680.111811	12.588979
16	7.869648	650.600893	26.295325
20	4.873251	1050.633302	7.586771
30	7.523540	680.530706	7.086009
40	20.361115	251.459707	14.917986
2	3.477076	1472.501585	64.132951
4	3.214439	1592.812971	20.510566
8	11.827942	432.873280	11.458777
16	13.559763	377.587722	21.284417
20	5.195354	985.495890	12.671566
30	6.726217	761.200535	6.707452
40	20.226540	253.132767	19.395068
