np	t_read [s]	bw_read [MB/s]	t_cmp [s]	t_write [s]	bw_write [MB/s]
40	16.015855	319.683212	9.389323	53.919864	94.955729
40	16.532600	309.691157	10.156521	62.895127	81.405353
20	15.452176	331.344917	12.296960	44.006001	116.347768
20	15.733437	325.421588	12.371366	45.134292	113.439245
16	15.194551	336.962902	12.338205	40.363924	126.845943
16	13.949963	367.026061	14.631180	42.530686	120.383668
8	22.113491	231.532868	19.247461	38.350697	133.504744
8	28.702512	178.381599	16.706011	36.931616	138.634605
4	17.543797	291.841046	20.875574	38.118886	134.316622
4	23.429752	218.525573	28.901481	41.309916	123.941186
2	35.794171	143.040050	53.853994	45.024701	113.715358
2	36.253726	141.226863	65.412931	46.785863	109.434766
1	59.656508	85.824668	111.615948	51.060517	100.273172
1	36.022297	142.134190	115.837292	48.608100	105.332239
