np	t_read [s]	bw_read [MB/s]	t_cmp [s]	t_write [s]	bw_write [MB/s]
1	49.472905	103.490991	86.537470	46.783867	109.439435
2	19.842188	258.036058	62.795824	48.520597	105.522197
4	13.016393	393.350134	53.065155	36.996387	138.391892
8	10.696000	478.683626	38.293797	39.619022	129.230853
16	11.977010	427.485658	9.795803	34.752297	147.328390
20	12.010707	426.286316	18.898173	36.538717	140.125336
30	17.000084	301.174984	20.900141	48.123882	106.392082
40	13.210305	387.576215	6.992470	51.315533	99.774858
2	32.429125	157.882767	78.481147	41.374676	123.747193
4	11.040506	463.746856	53.090950	32.354821	158.245350
8	20.579580	248.790305	34.966490	36.478186	140.357857
16	11.678986	438.394230	8.862503	34.917568	146.631059
20	13.494478	379.414454	22.591382	37.342457	137.109350
30	24.743184	206.925672	17.177117	49.337789	103.774412
40	12.873357	397.720655	6.592102	51.549246	99.322500
